1,1,500,158,30.979,70.299,1,-1,-1,-1
1,2,246,218,40.258,91.355,1,-1,-1,-1
1,3,648,238,36.706,83.294,1,-1,-1,-1
2,1,495.237,158,30.979,70.299,1,-1,-1,-1
2,2,245.045,215.136,43.3155,98.2917,1,-1,-1,-1
2,3,637.518,244.662,33.8769,76.8745,1,-1,-1,-1
2,4,504,162,30.979,70.299,1,-1,-1,-1
3,1,494.745,158,30.979,70.299,1,-1,-1,-1
3,2,260.709,218.171,35.2313,79.9475,1,-1,-1,-1
3,3,625.865,239.175,36.2155,82.1812,1,-1,-1,-1
4,1,490.811,161.161,30.979,70.299,1,-1,-1,-1
4,2,274.645,216.243,34.9998,79.422,1,-1,-1,-1
4,3,615.895,242.986,34.5997,78.5145,1,-1,-1,-1
5,1,489.472,162.273,30.979,70.299,1,-1,-1,-1
5,2,280.22,212.462,37.894,85.9899,1,-1,-1,-1
5,3,603.823,239.623,36.0275,81.7544,1,-1,-1,-1
6,1,485.877,165.828,30.979,70.299,1,-1,-1,-1
6,2,286.203,212.178,35.111,79.6748,1,-1,-1,-1
6,3,592.312,238.166,36.6369,83.1374,1,-1,-1,-1
7,1,481.876,164.377,32.6699,74.1358,1,-1,-1,-1
7,2,287.559,210.916,37.7953,85.7661,1,-1,-1,-1
7,3,580.454,237.565,36.8867,83.7041,1,-1,-1,-1
8,1,477.131,166.29,31.9371,72.473,1,-1,-1,-1
8,2,292.607,212.837,37.1981,84.4108,1,-1,-1,-1
8,3,575.48,237.397,36.9563,83.8621,1,-1,-1,-1
9,1,474.924,167.235,31.4388,71.3423,1,-1,-1,-1
9,2,298.091,211.163,36.8489,83.6184,1,-1,-1,-1
9,3,567.887,237.444,36.9369,83.8181,1,-1,-1,-1
10,1,471.319,167.589,31.1337,70.6501,1,-1,-1,-1
10,2,303.856,210.225,36.6719,83.2168,1,-1,-1,-1
10,3,558.546,237.576,36.8823,83.6941,1,-1,-1,-1
11,1,466.828,167.586,32.5918,73.9586,1,-1,-1,-1
11,2,309.208,209.783,36.604,83.0626,1,-1,-1,-1
11,3,544.665,237.718,36.8233,83.5601,1,-1,-1,-1
12,1,462.455,167.473,31.8433,72.2601,1,-1,-1,-1
12,2,314.892,209.641,36.5963,83.0451,1,-1,-1,-1
12,3,534.588,237.836,36.7743,83.4489,1,-1,-1,-1
